Seller SKU,Title,ASIN,Alternative ASINs,UPC,EAN,Brand,Product Group,Parent ASIN,Quantity,Package Length,Package Width,Package Height,Package Weight,FBA Competitors,FBA Eligible Competitors,FBM Competitors,FBM Eligible Competitors,BuyBox Fulfillment,BuyBox Seller Feedback Count,BuyBox Seller Positive Feedback Rating,Sales Rank Category,Sales Rank,Est. Number of Orders per Day,Est. Number of Effective Competitors,MSRP (List Price),Lowest FBA price,Lowest FBM price,BuyBox price,Cost,Referral Fee,FBA Fee,Total Fees,Total Costs,Est. Monthly Sales Share,Est. Monthly Profit Share,Est. Profit Margin,Est. Competitive Price,Est. Profit per Item
,"Cold Steel San Mai Tanto Series Fixed Blade Knife - Made with Premium San Mai Steel, Magnum Tanto II",B07CCWDP4K,,7.05442E+11,,Cold Steel,Sports,B088Z4TRD4,,15.1,3.9,2.3,1.15,0,0,1,1,FBM,13680,93,home_improvement_display_on_website,50919,0.99,0,269.99,,231.99,231.99,115.95,34.8,4.71,39.51,155.46,6821.88,2250.44,33,231.99,76.53
,"Cold Steel San Mai Tanto Series Fixed Blade Knife - Made with Premium San Mai Steel, Magnum Tanto XII, One Size (35AE)",B07C9BL7P9,,7.05442E+11,,Cold Steel,Sports,B088Z4TRD4,,18.39,3.39,2.13,1.45,0,0,4,4,FBM,233,91,home_improvement_display_on_website,50919,0.99,0,379.99,,239.99,239.99,155.95,36,8.51,44.51,200.46,7057.13,1162.42,16,239.99,39.53
,"Cold Steel San Mai Tai Pan, 7 1/2""",B07CL1F7G2,,7.05442E+11,,Cold Steel,Sports,,,14,5,4,3,1,1,11,11,FBA,387,91,musical_instruments_display_on_website,1893,11.3,1,299.99,154.73,152.95,154.73,119.95,23.21,5.47,28.68,148.63,26226.74,1033.95,4,154.73,6.1
,Gunstock War Club,B002D4CFO0,,7.05442E+11,,Cold Steel,Sports,,,29.5,7,1.3,2.65,0,0,1,1,,,,sports_display_on_website,103962,0.57,0,49.99,,79.99,,24.95,12,8.89,20.89,45.84,1354.29,578.18,43,79.99,34.15
,Cold Steel 4 Foot .625 Blowgun Big Bore Hunting Weapon,B00169OGX6,B019LIO6Y2,7.05442E+11,,Cold Steel,Sports,,,22.1,5.8,0.5,1.3,7,7,2,2,FBM,29169,94,sports_display_on_website,12620,5.43,1.66,38.99,47,43.97,43.97,20.95,6.6,8.51,15.11,36.06,2692.75,484.41,18,43.97,7.91
,"Cold Steel Espada Series Folding Knife with Tri-Ad Lock and Pocket Clip, Espada XL",B07MZXD1NW,,7.05442E+11,,Cold Steel,Sports,B08K4HNW74,,9.84,3.31,1.14,1.1,0,0,6,6,FBM,13680,93,sports_display_on_website,81041,0.29,0,649.99,,363.94,363.94,259.95,54.59,4.71,59.3,319.25,3134.93,384.95,12,363.94,44.69
,"Cold Steel Samburu Spear, Multi, One Size",B008BHWK0M,,7.05442E+11,,Cold Steel,Sports,,,34.6,5.5,3,3.25,0,0,3,3,FBM,41606,77,sports_display_on_website,77394,1.22,0,87.99,,70.56,70.56,41.95,10.58,9.27,19.85,61.8,2556.93,317.44,12,70.56,8.76
,Cold Steel Hand and A Half Training Sword 92BKHNH,B001Q72ARC,,7.05442E+11,,Cold Steel,Sports,,,45.28,3.54,0.98,2.03,3,3,3,3,,,,sports_display_on_website,37849,2.2,0.13,39.99,49.99,39.99,,19.95,6,8.89,14.89,34.84,2335.7,300.8,13,39.99,5.15
,"Cold Steel, G-10 Folding Knife, X-Large Espada, 7 1/2"" stonewashed Blade, Ambidextrous Stainless Pocket/Belt Clip",B07MZX7KR6,,7.05442E+11,,Cold Steel,Sports,B08K4HNW74,,10,3.1,1,0.85,3,3,14,13,FBM,979,85,home_improvement_display_on_website,113035,1.09,1.57,299.99,156.11,170.69,170.69,119.95,25.6,4.71,30.31,150.26,2171.81,259.95,12,170.69,20.43
,"Cold Steel Hand and a Half Dagger 88HNHD,Black",B0030D82Z4,,7.05442E+11,,Cold Steel,Sports,,,22.2,5.6,1.6,1.82,1,1,7,7,FBA,387,91,sports_display_on_website,61797,1.47,1,259.99,155.3,153.59,155.3,111.95,23.3,8.51,31.81,143.76,3424.37,254.46,7,155.3,11.54
